adrid,adr_info
Febrile neutropenia,01.02.03.002;08.05.02.004
Aminoaciduria,03.08.04.003;14.14.04.003;20.02.01.024
Mental retardation,17.03.07.001;19.21.06.001
Drug withdrawal syndrome neonatal,08.06.02.008;18.04.13.001;19.07.06.014
General symptom,08.01.03.021
Ammonia increased,13.03.04.007
Incisional hernia,07.16.04.001;12.02.05.017
Epidural haemorrhage,12.01.10.013;17.08.05.004;24.07.04.017
Hyperuricosuria,20.02.01.019
Nasal congestion,22.04.04.001
Anorectal discomfort,07.03.03.003
Renal failure acute,20.01.03.016
Kidney fibrosis,20.01.02.011
Lymphocyte count abnormal,13.01.06.022
Autonomic neuropathy,17.05.01.009
Instillation site irritation,08.02.01.012;12.07.01.013
Wandering pacemaker,02.03.03.018
Dehydration,14.05.05.001
Dystrophic calcification,08.03.04.009
Myocardial depression,02.04.02.015
Vascular headache,17.14.01.005;24.03.05.007
Vulvovaginal pruritus,21.08.02.004;23.03.12.009
Post procedural haemorrhage,12.02.05.004;24.07.01.014
Vein disorder,24.03.02.015
Decreased interest,19.15.02.004
Traumatic arthropathy,12.04.03.006;15.01.01.013
Electrocardiogram ST segment,13.14.05.035
Peritoneal cloudy effluent,07.07.01.006;12.02.17.001
Abdominal pain,07.01.05.002
Urethritis,11.01.14.008;20.07.02.001
Pre-eclampsia,18.02.03.002;20.01.08.002;24.08.07.002
Papillary thyroid cancer,05.02.05.005;16.24.03.002
Cutis laxa,15.06.01.007;23.03.02.009
Granulocytosis,01.02.01.008
Metal poisoning,12.03.01.049
Eosinophil count abnormal,13.01.06.019
Kounis syndrome,02.02.02.020;10.01.03.037;24.04.04.020
Uterine enlargement,21.07.01.007
Hypersexuality,19.08.03.005
Injection site irritation,08.02.03.027;12.07.03.027
Bronchial ulceration,22.03.02.010
Abscess limb,11.01.08.014;15.03.05.001
Prostatic specific antigen increased,13.23.01.003
Congenital musculoskeletal anomaly,03.11.06.010;15.11.06.010
Testicular disorder,21.13.01.002
Hypercalciuria,05.04.01.003;14.04.01.006;20.02.01.007
Hyperparathyroidism secondary,05.04.01.004;14.04.01.022;20.01.01.006
Weight fluctuation,14.03.02.002
Joint dislocation,12.04.02.007;15.01.07.002
Poikilocytosis,01.07.02.009
Bloody discharge,08.01.03.039;24.07.01.041
Myoclonus,17.02.05.008;06.05.01.005;17.12.03.034
Mean arterial pressure decreased,13.14.03.016
Portal hypertension,09.01.06.006;24.08.06.001
Airway complication of anaesthesia,12.02.20.001;22.02.07.006
Jaundice,01.06.04.004;09.01.01.004;23.03.03.030
Pustular psoriasis,10.02.01.102;23.03.14.006
Gastrointestinal neoplasm,07.21.04.002;16.13.11.001
Herpes simplex encephalitis,11.05.02.019;17.06.06.004;11.05.02.010;17.06.06.001
Rash maculo-papular,23.03.13.004
Intussusception,07.13.01.008
Abnormal withdrawal bleeding,08.06.02.001;21.01.01.008
Fluorosis,12.03.01.023
Kaposi's varicelliform eruption,10.01.04.006;11.05.02.016;23.03.04.026
Corneal abrasion,06.11.03.001;12.01.04.001
Gingival erythema,07.09.13.006
Sinus disorder,22.04.06.002
Vitamin B12 deficiency,14.12.02.004
Shunt thrombosis,12.02.05.021;24.01.01.016
Akathisia,17.01.02.002;19.06.02.006;17.01.02.011;17.02.05.021;19.11.02.002;19.11.02.003
Musculoskeletal discomfort,15.03.04.001
Nasal obstruction,22.12.03.013
Anterior chamber cell,06.04.10.001
Alkalosis,14.01.02.001
Chronic hepatitis B,09.01.09.008;11.05.28.001
Alanine aminotransferase decreased,13.03.04.004
Colpocele,07.16.06.002;20.03.01.014;21.07.05.003
Pleural rub,22.12.02.012;08.01.03.006;22.03.01.009;22.04.02.003;22.12.01.011;22.12.01.013
Chorioretinopathy,06.09.01.006
Carbuncle,11.01.12.005;23.11.02.002
Necrotising fasciitis,11.01.17.002;15.03.03.004
Ear congestion,04.03.01.010
Small bowel angioedema,07.08.03.012;10.01.05.019;23.04.01.019
Corneal defect,06.08.01.005
Neonatal hyponatraemia,14.05.04.005;18.04.06.005
Menometrorrhagia,21.01.03.001
Salivary duct obstruction,07.06.05.001
Atopy,10.01.04.005
Diabetic ketoacidosis,05.07.03.001;14.07.03.001;05.07.03.004;14.07.03.004
Serum sickness-like reaction,08.01.03.003;10.01.03.005
Cholangitis sclerosing,09.02.01.003;10.04.09.002
Eye haemorrhage,06.07.02.001;12.02.02.012;24.07.05.002
Refractory anaemia with an excess of blasts,01.10.04.010;16.01.04.010
Hypohidrosis,08.01.03.029;23.02.03.005;23.02.03.001
Ulcer haemorrhage,08.03.06.003;24.07.01.040
Sexual dysfunction,19.08.05.002;21.03.02.003
Hypoparathyroidism,05.04.02.001;12.02.15.001;14.04.01.007
Carotid pulse,13.14.04.011
Premature separation of placenta,18.02.01.004;24.07.03.019
Tongue neoplasm,07.21.08.001;16.13.09.001
Wound secretion,08.01.03.035;12.01.08.007
Tooth fracture,07.09.05.008;12.01.17.024
Mucosal pigmentation,08.01.06.006
Neutrophilic dermatosis,01.02.01.013;23.03.03.059
Deafness permanent,04.02.01.003;17.04.07.002
Periorbital oedema,06.08.03.017;10.01.05.010;23.04.01.002
Injection site discomfort,08.02.03.018;12.07.03.019
Purine metabolism disorder,14.09.01.007
Genital haemorrhage,21.10.05.002;24.07.03.007
Accident,12.01.08.001
Respiratory disorder neonatal,18.04.09.002;22.11.01.002
Skin odour abnormal,23.03.03.012
Colitis ischaemic,07.08.01.004;24.04.08.012
Cardiac hypertrophy,02.04.02.017;02.04.02.001
Volvulus,07.13.01.012
Diastolic dysfunction,02.04.02.022
Choluria,20.02.01.021
Acute coronary syndrome,02.02.02.015;24.04.04.011
Ovarian enlargement,21.11.02.001
Hepatitis B surface antigen positive,13.08.03.001
Diabetes mellitus inadequate control,05.06.01.004;14.06.01.004
Spontaneous penile erection,21.03.01.010
Unintended pregnancy,18.08.01.001
Tooth injury,07.09.05.003;12.01.17.025
Polyserositis,08.01.05.003
B-cell type acute leukaemia,01.10.01.002;16.01.01.002
Weight increased,13.15.01.006
Hypothermia,08.05.01.003;12.05.03.001
Erythema multiforme,10.01.03.015;23.03.01.003
Periventricular leukomalacia,17.13.02.005;18.04.07.003
Bone cancer metastatic,15.09.03.004;16.29.02.001
Incoherent,17.02.08.002;19.10.03.006
Protrusion tongue,07.14.02.002;17.02.05.037
Hernia congenital,03.04.07.003;08.01.04.002
Xanthoma,14.08.04.010;23.03.03.047;14.08.04.014;23.03.03.034
Hyperacusis,04.02.02.001;17.04.03.003;04.03.01.008;19.06.03.003
Hypothyroidism,05.02.03.001;14.11.01.012;05.02.03.003;05.02.03.009;14.11.01.021;14.11.01.049
Pleural disorder,22.05.03.002
Congenital diaphragmatic hernia,03.16.03.001;07.16.01.003;22.09.02.003
Renal tubular necrosis,20.01.07.003
Parkinsonism,17.01.05.003
Cardiac tamponade,02.06.01.001
Ventricular septal defect,02.04.02.007;03.07.02.001
Mucosal atrophy,08.01.06.019
Cirrhosis alcoholic,09.01.04.005
Lipid metabolism disorder,14.08.04.003
Mitral valve incompetence,02.07.01.002
Vitamin E decreased,13.02.05.007
Muscle contractions involuntary,15.05.03.008;17.05.03.001
Arterial disorder,24.03.02.020
Psychiatric symptom,19.01.02.001
Device interaction,08.06.03.004
Pulmonary toxicity,12.03.01.013;22.01.02.007
Lentigo,23.05.01.011
Acquired haemophilia,01.01.01.002
Panic reaction,19.06.04.003
Blood uric acid increased,13.02.04.001
Electrocardiogram ST-T change,13.14.05.015
Ventricular failure,02.05.01.007
Hypertensive encephalopathy,17.13.02.002;24.08.05.001
Systemic inflammatory response syndrome,08.01.05.005;10.02.01.008;24.06.03.008;10.02.01.049;11.01.11.012
Foetal death,08.04.01.011;18.01.02.003
Oesophageal spasm,07.02.04.004
Vitamin B6 deficiency,14.12.02.005
Angiomyolipoma,15.09.01.002;16.18.01.002
Adenocarcinoma,16.16.01.004
Immediate post-injection reaction,08.06.01.019;10.01.03.032
Streptobacillary fever,11.02.21.002
Limb discomfort,15.03.04.014
Vaginal haemorrhage,21.08.01.001;24.07.03.005
Depressed level of consciousness,17.02.04.002
Asterixis,09.01.03.004;17.01.06.001;17.01.02.006;17.01.02.017
Salivary gland pain,07.06.02.002
Oropharyngeal squamous cell carcinoma,07.21.07.005;16.19.05.004;22.08.02.006
Infertility female,21.03.02.017
Defaecation urgency,07.02.04.001
Secondary hypertension,24.08.02.015
Bladder dilatation,20.03.01.007
Akinesia,17.01.02.003
Sleep attacks,19.02.02.005
Ejaculation disorder,21.03.01.002
Faeces hard,07.01.03.003
Encephalitis viral,11.05.04.010;17.06.06.002
Hypotension,24.06.03.002
Blood cholesterol increased,13.12.01.002
Breast pain,21.05.05.003
Axonal neuropathy,17.09.03.015
Somatoform disorder,19.24.01.006
Sphincter of Oddi dysfunction,07.18.02.002;09.02.02.004
Neurofibromatosis,03.10.01.002;16.09.01.002;17.18.01.002;23.05.01.018
Oropharyngeal spasm,07.02.04.006;22.04.05.001
Plasma cell leukaemia,01.14.02.003;16.23.02.003
Bruxism,07.01.06.008;19.11.03.001
Dyspnoea exertional,02.11.05.005;22.02.01.005
Precocious puberty,05.05.03.001;21.03.02.009
Pelvic fracture,12.04.06.001;15.08.06.001
Cryptorchism,03.03.01.001;05.05.02.002;21.15.01.001
Myxoedema,05.02.03.002;23.07.04.007
Bladder stenosis,12.02.10.011;20.03.01.011
Zinc deficiency,14.13.01.001
Urinary tract infection fungal,11.03.05.009;20.08.02.005
Platelet count abnormal,13.01.04.005
Water intoxication,05.03.03.003;14.05.06.004;19.07.03.004
Cystoid macular oedema,06.04.06.010;12.02.02.005
Obstructive airways disorder,22.03.01.011
Cardiac septal defect,02.04.02.024;03.07.02.003
Sexually active,26.05.02.001
Radius fracture,12.04.01.007;15.08.03.006
Uterine haemorrhage,21.07.01.005;24.07.03.004
Gastrointestinal stromal tumour,07.21.04.003;16.13.04.008
Rheumatic disorder,10.02.01.048;15.03.04.018
Joint effusion,15.01.02.005
Bacterial infection,11.02.01.005
Lung cancer metastatic,16.19.02.003;22.08.01.004
Photoonycholysis,23.02.05.021
Pancreatic carcinoma,07.21.09.002;16.13.10.001
Psoriatic arthropathy,10.02.01.031;15.01.10.001;23.03.14.005
Pneumopericardium,02.06.01.007
Vitreous floaters,06.09.01.005
VIth nerve paralysis,06.05.02.009;17.04.02.002
Bladder neck obstruction,20.03.01.010;20.03.01.019
Musculoskeletal stiffness,15.03.05.027
Metastases to spine,15.09.03.007;16.22.02.007
Pseudolymphoma,01.09.01.016
Halo vision,06.02.06.003
Disseminated tuberculosis,11.04.01.001
Thinking abnormal,17.02.05.023;19.10.03.001
Oropharyngeal pain,07.05.05.004;22.12.03.016
Obsessive thoughts,19.06.05.001
Optic ischaemic neuropathy,06.07.03.001;17.04.05.006;24.04.10.001
