adrid,adr_info
BADD_A00971,08.01.03.024;23.02.03.002
BADD_A00972,07.08.01.001
BADD_A00974,07.08.01.004;24.04.08.012
BADD_A00975,07.08.01.005;10.02.01.004
BADD_A00978,07.21.01.001;16.13.01.001
BADD_A00985,17.02.09.001
BADD_A00986,09.01.03.005;17.02.09.002
BADD_A00989,15.05.05.005;24.04.05.006
BADD_A00990,08.04.01.010;19.12.01.001
BADD_A01003,08.01.03.004
BADD_A01007,02.03.01.008
BADD_A01009,17.02.03.005;19.13.01.001
BADD_A01016,03.02.01.001
BADD_A01048,06.07.01.001;24.07.05.001
BADD_A01051,06.04.01.001
BADD_A01055,06.04.01.002;11.01.06.012
BADD_A01056,06.04.01.003;10.01.04.002
BADD_A01059,07.02.02.001
BADD_A01065,19.24.01.001
BADD_A01071,17.02.02.004
BADD_A01078,06.06.03.002
BADD_A01082,06.06.03.003
BADD_A01087,06.04.02.001
BADD_A01088,06.06.03.005
BADD_A01095,02.02.01.001;24.04.04.006
BADD_A01099,02.02.01.006;12.02.01.036;24.04.04.013
BADD_A01100,02.02.01.010;12.02.01.037;24.04.04.017
BADD_A01101,02.02.01.007;24.01.05.002
BADD_A01105,22.02.03.001
BADD_A01114,13.13.01.013
BADD_A01115,08.01.03.006
BADD_A01117,07.08.01.015;10.02.01.005
BADD_A01119,08.01.03.005;12.02.11.001;17.02.05.013;19.04.02.002
BADD_A01126,20.02.01.003
BADD_A01130,05.01.01.001;14.11.01.007;19.07.03.002;24.08.04.001
BADD_A01131,05.01.01.002;14.11.01.006;19.07.03.001;24.08.02.004
BADD_A01133,10.02.02.003;23.06.02.001;24.12.04.008
BADD_A01135,02.11.04.004;22.02.02.007;23.06.04.005;24.03.01.007
BADD_A01139,08.03.05.001;16.02.02.002
BADD_A01142,11.01.14.001;20.03.02.002
BADD_A01143,20.03.02.003
BADD_A01156,04.02.01.001
BADD_A01158,04.02.01.002;17.04.07.001
BADD_A01161,08.04.01.001
BADD_A01163,08.04.01.002;18.04.01.002
BADD_A01164,08.01.01.006;19.11.01.002
BADD_A01166,10.02.01.041
BADD_A01167,19.15.02.004
BADD_A01169,23.03.11.006
BADD_A01170,07.02.04.001
BADD_A01174,14.05.05.001
BADD_A01178,19.13.02.001
BADD_A01182,19.10.01.001
BADD_A01187,17.03.01.001;19.20.02.001
BADD_A01189,17.03.06.001;19.20.03.001
BADD_A01194,17.16.02.001
BADD_A01196,07.09.01.001
BADD_A01202,19.07.06.008
BADD_A01205,17.02.04.002
BADD_A01206,19.15.02.001
BADD_A01208,19.15.01.001
BADD_A01209,19.15.01.004
BADD_A01211,19.10.05.004
BADD_A01213,16.26.02.001;23.10.02.001
BADD_A01214,23.03.04.002
BADD_A01215,23.02.01.004
BADD_A01216,10.01.03.014;23.03.04.003
BADD_A01219,10.01.04.004;23.03.04.016
BADD_A01220,23.03.01.002
BADD_A01221,10.01.01.003;12.03.01.040;23.03.04.004
BADD_A01223,10.01.01.004;23.03.07.001
BADD_A01225,10.04.04.027;15.05.01.002;23.03.02.001
BADD_A01229,08.01.03.037;19.07.05.003
